name,geo,four_regions,eight_regions,six_regions,members_oecd_g77,Latitude,Longitude,UN member since,World bank region,"World bank, 4 income groups 2017",adjective,adjective_plural
Sudan,sdn,africa,africa_sub_saharan,sub_saharan_africa,g77,16,30,12/11/1956,Sub-Saharan Africa,Lower middle income,Sudanese,Sudanese
Suriname,sur,americas,america_south,america,g77,4,-56,4/12/1975,Latin America & Caribbean,Upper middle income,Surinamese,Surinamers
Swaziland,swz,africa,africa_sub_saharan,sub_saharan_africa,g77,-26.5,31.5,24/9/1968,Sub-Saharan Africa,Lower middle income,"Swazi, Swati",Swazis
Sweden,swe,europe,europe_west,europe_central_asia,oecd,62,15,19/11/1946,Europe & Central Asia,High income,Swedish,Swedes
Switzerland,che,europe,europe_west,europe_central_asia,oecd,47.00016,8.01427,10/9/2002,Europe & Central Asia,High income,Swiss,Swiss
Syria,syr,asia,asia_west,middle_east_north_africa,g77,35,38,24/10/1945,Middle East & North Africa,Lower middle income,Syrian,Syrians
Taiwan,twn,asia,east_asia_pacific,east_asia_pacific,others,24,121,,East Asia & Pacific,High income,Taiwanese,Taiwanese
Tajikistan,tjk,asia,asia_west,europe_central_asia,others,39,71,2/3/1992,Europe & Central Asia,Lower middle income,Tajikistani,"Tajikistanis, Tajiks"
Tanzania,tza,africa,africa_sub_saharan,sub_saharan_africa,g77,-6,35,14/12/1961,Sub-Saharan Africa,Low income,Tanzanian,Tanzanians
Thailand,tha,asia,east_asia_pacific,east_asia_pacific,g77,15.5,101,16/12/1946,East Asia & Pacific,Upper middle income,Thai,Thai
Timor-Leste,tls,asia,east_asia_pacific,east_asia_pacific,g77,-8.83333,125.75,27/9/2002,East Asia & Pacific,Lower middle income,Timorese,Timorese
Togo,tgo,africa,africa_sub_saharan,sub_saharan_africa,g77,8.66667,1.08333,20/9/1960,Sub-Saharan Africa,Low income,Togolese,Togolese
Tonga,ton,asia,east_asia_pacific,east_asia_pacific,g77,-20,-175,14/9/1999,East Asia & Pacific,Upper middle income,Tongan,Tongans
Trinidad and Tobago,tto,americas,america_north,america,g77,11,-61,18/9/1962,Latin America & Caribbean,High income,"Trinidadian, Tobagonian","Trinidadians, Tobagonians"
Tunisia,tun,africa,africa_north,middle_east_north_africa,g77,34,9,12/11/1956,Middle East & North Africa,Lower middle income,Tunisian,Tunisians
Turkey,tur,europe,europe_east,europe_central_asia,oecd,39,35,24/10/1945,Europe & Central Asia,Upper middle income,Turkish,Turks
Turkmenistan,tkm,asia,asia_west,europe_central_asia,g77,39.75,59.66667,2/3/1992,Europe & Central Asia,Upper middle income,Turkmen,Turkmens
Tuvalu,tuv,asia,east_asia_pacific,east_asia_pacific,others,-8.51719,179.14478,5/9/2000,East Asia & Pacific,Upper middle income,Tuvaluan,Tuvaluans
Uganda,uga,africa,africa_sub_saharan,sub_saharan_africa,g77,1.25,32.5,25/10/1962,Sub-Saharan Africa,Low income,Ugandan,Ugandans
Ukraine,ukr,europe,europe_east,europe_central_asia,others,49,32,24/10/1945,Europe & Central Asia,Lower middle income,Ukrainian,Ukrainians
United Arab Emirates,are,asia,asia_west,middle_east_north_africa,g77,23.75,54.5,9/12/1971,Middle East & North Africa,High income,"Emirati, Emirian, Emiri","Emiratis, Emirians, Emiri"
United Kingdom,gbr,europe,europe_west,europe_central_asia,oecd,54.75844,-2.69531,24/10/1945,Europe & Central Asia,High income,British,British
United States,usa,americas,america_north,america,oecd,39.76,-98.5,24/10/1945,North America,High income,American,Americans
Uruguay,ury,americas,america_south,america,g77,-33,-56,18/12/1945,Latin America & Caribbean,High income,Uruguayan,Uruguayans
Uzbekistan,uzb,asia,asia_west,europe_central_asia,others,41.66667,63.83333,2/3/1992,Europe & Central Asia,Lower middle income,"Uzbekistani, Uzbek","Uzbekistanis, Uzbeks"
Vanuatu,vut,asia,east_asia_pacific,east_asia_pacific,g77,-16,167,15/9/1981,East Asia & Pacific,Lower middle income,"Ni-Vanuatu, Vanuatuan",Ni-Vanuatu
Venezuela,ven,americas,america_south,america,g77,8,-66,15/11/1945,Latin America & Caribbean,Upper middle income,Venezuelan,Venezuelans
Palestine,pse,asia,asia_west,middle_east_north_africa,g77,31.92157,35.20329,,Middle East & North Africa,Lower middle income,Palestinian,Palestinians
Vietnam,vnm,asia,east_asia_pacific,east_asia_pacific,g77,16.16667,107.83333,20/9/1977,East Asia & Pacific,Lower middle income,Vietnamese,Vietnamese people
Yemen,yem,asia,asia_west,middle_east_north_africa,g77,15.5,47.5,30/9/1947,Middle East & North Africa,Lower middle income,Yemeni,Yemenis
Zambia,zmb,africa,africa_sub_saharan,sub_saharan_africa,g77,-14.33333,28.5,1/12/1964,Sub-Saharan Africa,Lower middle income,Zambian,Zambians
Zimbabwe,zwe,africa,africa_sub_saharan,sub_saharan_africa,g77,-19,29.75,25/8/1980,Sub-Saharan Africa,Low income,Zimbabwean,Zimbabweans
South Sudan,ssd,africa,africa_sub_saharan,sub_saharan_africa,,7.5,30,14/7/2011,Sub-Saharan Africa,Low income,South Sudanese,South Sudanese
